 siapa yang telat memberi tau kamu edan sarap gue bergaul dengan cigax jifla calis sama siapa itu licew juga 	negative
 di saat semua cowok berusaha melacak perhatian gue kamu lantas remehkan perhatian yang gue kasih khusus ke kamu basic kamu cowok bego 	negative
 siapa yang telat memberi tau kamu edan sarap gue bergaul dengan cigax jifla calis sama siapa itu licew juga 	negative
 kadang aku berpikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan itu meninggalkan aku sendirian ketika orang tuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter	negative
 aku itu aku dan ku tau matamu sipit tapi dilihat dari mana itu aku 	negative
 kaum cebong kafir sudah kelihatan dongoknya dari awal tambah dungu lagi haha 	negative
 ya bani taplak dan kawan kawan 	negative
deklarasi pilihan kepala daerah aman dan anti hoaks warga dukuh sari jabon	neutral
gue baru saja selesai re watch aldnoah zero paling kampret memang akhirnya karakter utama cowoknya kena friendzone bro 	negative
nah admin belanja satu lagi port terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kau kau doket mana itu gerai rozak mertuaku taipan depan kembar baby amp romantika bank islam senawang 	positive
 enak lagi kalau sambil ngewe 	positive
setidaknya gue punya jari tengah buat kamu sebelum gue ukur nyali sama bacot kamu 	negative
 banci kaleng malu tidak bisa jawab pertanyaan kami dari hari lalu nyungsep koe 	negative
kalau belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi 	negative
aktor huru hara prabowo si ingin lengserkan pemerintahan jokowi nyata	negative
 bu guru enakan jadi jablay atau guru sekolah dasar sih kayaknya menikmati jadi pecun ini guru 	negative
 lawan bicara gue tidak intelek kayak kamu yang otak tidak punya tentang kencing onta gue mengakui hadis nabi dan itu sahih kafir kayak kamu pasti menolak makanya kamu ahlun nar 	negative
belakangan ini kok pikiran ampas banget ya 	negative
ari sama beki adalah rapi monyet 	negative
jadi cowok itu harus gantle kalau tidak gantle itu namanya banci 	negative
 alga mnr bom 	negative
anjing ya tapi gue jarang mengambek takut wkwk gue kan budak cinta 	negative
 kalau kamu noob pasti peluang disakiti nya lebih gede sih 	negative
 joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi tidak	negative
pelajar sama kecamatan bilah hilir deklarasi anti hoaks amp pilihan kepala daerah damai	neutral
bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan anggaran pendapatan dan belanja negara pemerintah pusat insya allah siap beroperasi bulan depan 	negative
siapapun gubernur dan presidennya rakyatnya ya kita juga 	negative
ini sih kerjaannya delay mulu setan 	negative
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modus banget	positive
 partai komunis indonesia hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong 	negative
